id;project_id;user_id;tags;created_at
de466d9a-8880-4446-af6d-8abc31c10c83;836f9fe7-54ed-4847-96f8-7ecc4da0af67;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""Meilleur ETF 2026"",""Investissement passif ETF"",""S&P 500 ETF analyse"",""Pourquoi S&P 500 surperforme"",""VOO SPY IVV explication"",""Investir en bourse débutant"",""Éviter erreurs investissement"",""Stratégie investissement simple"",""ETF qui résiste aux crises"",""Performance ETF long terme""]";2025-12-10 10:40:33.364784+00
2830e870-4854-4207-808c-e5c174664cb8;836f9fe7-54ed-4847-96f8-7ecc4da0af67;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""meilleur ETF 2026"",""investissement indiciel"",""S&P 500 ETF"",""pourquoi investir S&P 500"",""survivre aux crashs boursiers"",""stratégie d'investissement simple"",""rendement S&P 500"",""VOO SPY IVV"",""battre le marché S&P 500"",""crises financières S&P 500""]";2025-12-10 10:41:59.80603+00
0b19dbbd-577e-4d79-844e-8220c262463f;836f9fe7-54ed-4847-96f8-7ecc4da0af67;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""ETF"",""investing"",""S&P 500"",""stock market"",""index fund"",""wealth"",""finance"",""passive income"",""VOO"",""investments""]";2025-12-10 10:42:19.444169+00
7a87d440-75ca-4541-8a50-1b20ba11e200;a6d5ab7b-c365-4b5a-a54d-2b89490b2c7e;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""richesse"",""argent"",""finances"",""épargne"",""investissement"",""riches"",""mindset"",""budget"",""planification"",""argent facile""]";2025-12-10 10:42:44.411036+00
b3376484-b9a0-4a67-bbb2-1edec2187c48;a6d5ab7b-c365-4b5a-a54d-2b89490b2c7e;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""richesse"",""argent"",""finances"",""épargne"",""investissement"",""budget"",""mindset"",""succès"",""liberté financière"",""comparaison""]";2025-12-10 10:43:09.228135+00
ee421af8-20ab-464d-b18f-9f33a3850f28;a6d5ab7b-c365-4b5a-a54d-2b89490b2c7e;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""richesse"",""argent"",""finances"",""épargne"",""investissement"",""budget"",""succès"",""mindset"",""éducation financière"",""argent intelligent""]";2025-12-10 10:44:08.574404+00
7b6d6a35-ab38-4251-9599-ade781b21b7b;a6d5ab7b-c365-4b5a-a54d-2b89490b2c7e;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""wealth"",""money"",""finance"",""richer"",""investing"",""savings"",""financial health"",""income"",""budget"",""personal finance""]";2025-12-10 10:44:23.926325+00
90fb7d2c-f882-4194-b593-ddc9daac7148;3331f31f-c665-4b9c-9ca4-08a2513747b9;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""whole foods"",""nutrition"",""health"",""diet"",""processed food"",""wellness"",""healthy eating"",""food industry"",""metabolism"",""lifestyle""]";2025-12-10 11:35:54.614066+00
78934df1-71d4-4fb5-a253-285303816059;ca7b77c1-6874-4526-a567-0c442b54efbe;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""Walking"",""Health"",""Fitness"",""Exercise"",""Well-being"",""Daily walk"",""Habits"",""Motivation"",""Neuroscience"",""Mindset""]";2025-12-10 11:40:54.346073+00
2e7fe494-91b5-48ef-952d-3d9db61569b1;ccb683aa-983b-450a-a718-06d8b229d323;e622c54f-8a88-403a-bfea-1f29b71c40f9;"[""AI"",""Artificial Intelligence"",""History"",""Technology"",""Future"",""Science Fiction"",""Speculation"",""Impact"",""Society"",""Humanity""]";2025-12-10 16:34:24.121883+00
